,,,,,,,,,,,,,,,Weekday,Average of SALES,,,,
46,4,4/25/2023,42,23,32,16,165,42,23,32,16,165,,,,,,,,
47,0,4/26/2023,19,10,36,20,119,19,10,36,20,119,,,,,,,,
48,2,4/27/2023,53,42,19,37,245,53,42,19,37,245,,,,,,,,
49,1,4/28/2023,46,16,50,11,149,46,16,50,11,149,,,,,,,,
50,0,4/29/2023,14,12,37,18,111,14,12,37,18,111,,,,,,,,
51,7,4/30/2023,44,3,35,8,122,44,3,35,8,122,,,,,,,,
52,0,5/1/2023,29,10,4,13,112,29,10,4,13,112,,,,,,,,
53,7,5/2/2023,44,42,40,27,235,44,42,40,27,235,,,,,,,,
54,5,5/3/2023,42,46,59,18,225,42,46,59,18,225,,,,,,,,
55,2,5/4/2023,63,29,16,34,220,63,29,16,34,220,,,,,,,,
56,7,5/5/2023,41,49,60,21,240,41,49,60,21,240,,,,,,,,
57,0,5/6/2023,3,28,41,18,71,3,28,41,18,71,,,,,,,,
58,7,5/7/2023,33,19,17,17,133,33,19,17,17,133,,,,,,,,
59,5,5/8/2023,49,50,38,31,239,49,50,38,31,239,,,,,,,,
60,4,5/9/2023,50,30,9,32,186,50,30,9,32,186,,,,,,,,
61,0,5/10/2023,17,2,21,18,83,17,2,21,18,83,,,,,,,,
62,4,5/11/2023,61,43,55,26,240,61,43,55,26,240,,,,,,,,
63,3,5/12/2023,54,16,27,21,170,54,16,27,21,170,,,,,,,,
64,2,5/13/2023,28,30,8,22,299,28,30,8,22,299,,,,,,,,
65,6,5/14/2023,27,43,29,23,187,27,43,29,23,187,,,,,,,,
66,0,5/15/2023,22,9,1,11,109,22,9,1,11,109,,,,,,,,
67,0,5/16/2023,15,25,2,15,104,15,25,2,15,104,,,,,,,,
68,1,5/17/2023,31,15,10,17,135,31,15,10,17,135,,,,,,,,
69,2,5/18/2023,51,28,11,33,196,51,28,11,33,196,,,,,,,,
70,3,5/19/2023,48,44,27,33,229,48,44,27,33,229,,,,,,,,
71,7,5/20/2023,45,31,39,20,196,45,31,39,20,196,,,,,,,,
72,5,5/21/2023,30,14,32,5,129,30,14,32,5,129,,,,,,,,
73,0,5/22/2023,15,33,19,11,106,15,33,19,11,106,,,,,,,,
74,0,5/23/2023,29,6,31,3,117,29,6,31,3,117,,,,,,,,
75,6,5/24/2023,51, -   ,13,28,187,51, -   ,13,28,187,,,,,,,,
76,0,5/25/2023,12,44,89,8,105,12,44,89,8,105,,,,,,,,
77,0,5/26/2023,14,2,21,15,83,14,2,21,15,83,,,,,,,,
78,3,5/27/2023,25,29,14,21,149,25,29,14,21,149,,,,,,,,
79,0,5/28/2023,8,30,9,12,62,8,30,9,12,62,,,,,,,,
80,6,5/29/2023,31,8,23,6,120,31,8,23,6,120,,,,,,,,
81,0,5/30/2023,19,27,22,12,120,19,27,22,12,120,,,,,,,,
82,4,5/31/2023,152,4,37,11,128,152,4,37,11,128,,,,,,,,
83,4,6/1/2023,18,20,33,5,128,18,20,33,5,128,,,,,,,,
84,1,6/2/2023,23,45,36,15,149,23,45,36,15,149,,,,,,,,
85,6,6/3/2023,46,43,34,29,223,46,43,34,29,223,,,,,,,,
86,5,6/4/2023,43,18,66,2,159,43,18,66,2,159,,,,,,,,
87,4,6/5/2023,21,28,16,15,122,21,28,16,15,122,,,,,,,,
88,7,6/6/2023,28,41,63,6,180,28,41,63,6,180,,,,,,,,
89,7,6/7/2023,28,226,73,12,147,28,226,73,12,147,,,,,,,,
90,7,6/8/2023,24,48,51,14,177,24,48,51,14,177,,,,,,,,
91,0,6/9/2023,32,5,9,12,93,32,5,9,12,93,,,,,,,,
92,0,6/10/2023,15,2,33,10,74,15,2,33,10,74,,,,,,,,
93,1,6/11/2023,48,34,59,15,811,48,34,59,15,811,,,,,,,,
94,2,6/12/2023,56,37,72,14,225,56,37,72,14,225,,,,,,,,
95,3,6/13/2023,30,14,11,13,117,30,14,11,13,117,,,,,,,,
96,4,6/14/2023,41,32,53,11,175,41,32,53,11,175,,,,,,,,
97,5,6/15/2023,47,4,6,19,132,47,4,6,19,132,,,,,,,,
98,6,6/16/2023,42,21,22,20,168,42,21,22,20,168,,,,,,,,
99,7,6/17/2023,65,42,51,30,257,65,42,51,30,257,,,,,,,,
100,1,6/18/2023,28,42,46,16,183,28,42,46,16,183,,,,,,,,
101,2,6/19/2023,51,4,50,4,137,51,4,50,4,137,,,,,,,,
102,3,6/20/2023,63,36,94,10,254,63,36,94,10,254,,,,,,,,
103,4,6/21/2023,64,10,21,25,158,64,10,21,25,158,,,,,,,,
104,5,6/22/2023,39,17,18,20,163,39,17,18,20,163,,,,,,,,
105,6,6/23/2023,55,34,5,39,208,55,34,5,39,208,,,,,,,,
106,7,6/24/2023,38,46,59,13,196,38,46,59,13,196,,,,,,,,
107,1,6/25/2023,8,11,30,16,86,8,11,30,16,86,,,,,,,,
108,2,6/26/2023,27,0,23,20,104,27,0,23,20,104,,,,,,,,
109,3,6/27/2023,10,0,26,11,54,10,0,26,11,54,,,,,,,,
110,4,6/28/2023,53,27,6,37,,53,27,6,37,140.7407407,,,,,,,,
111,5,6/29/2023,54,8,57,4,150,54,8,57,4,150,,,,,,,,
112,6,6/30/2023,55,38,23,34,221,55,38,23,34,221,,,,,,,,
113,7,7/1/2023,39,15,2,24,159,39,15,2,24,159,,,,,,,,
114,1,7/2/2023,45,21,11,27,167,45,21,11,27,167,,,,,,,,
115,2,7/3/2023,19,47,35,17,152,19,47,35,17,152,,,,,,,,
116,3,7/4/2023,24,35,53,4,133,24,35,53,4,133,,,,,,,,
117,4,7/5/2023,38,14,26,11,129,38,14,26,11,129,,,,,,,,
118,5,7/6/2023,25,1,15,2,108,25,1,15,2,108,,,,,,,,
119,6,7/7/2023,29,37,79,19,172,29,37,79,19,172,,,,,,,,
120,7,7/8/2023,10,16,22,1,77,10,16,22,1,77,,,,,,,,
121,1,7/9/2023,36,27,46,9,163,36,27,46,9,163,,,,,,,,
122,2,7/10/2023,8,22,50,13,81,8,22,50,13,81,,,,,,,,
123,3,7/11/2023,46,2,16,17,125,46,2,16,17,125,,,,,,,,
124,4,7/12/2023,34,35,12,25,171,34,35,12,25,171,,,,,,,,
125,5,7/13/2023,52,32,74,9,201,52,32,74,9,201,,,,,,,,
126,6,7/14/2023,18,12,26,4,126,18,12,26,4,126,,,,,,,,
127,7,7/15/2023,9,39,51,20,78,9,39,51,20,78,,,,,,,,
128,1,7/16/2023,71,,9,31,92,71,0,9,31,92,,,,,,,,
129,2,7/17/2023,54,49,3,45,264,54,49,3,45,264,,,,,,,,
130,3,7/18/2023,19,12,43,15,116,19,12,43,15,116,,,,,,,,
131,4,7/19/2023,6,40,9,111,28,6,40,9,111,28,,,,,,,,
132,5,7/20/2023,55,3,43,11,147,55,3,43,11,147,,,,,,,,
133,6,7/21/2023,6,27,2,14,71,6,27,2,14,71,,,,,,,,
134,7,7/22/2023,46,34,45,21,,46,34,45,21,164.4642857,,,,,,,,
135,1,7/23/2023,14,39,66,17,124,14,39,66,17,124,,,,,,,,
136,2,7/24/2023,15,47,9,25,124,15,47,9,25,124,,,,,,,,
137,3,7/25/2023,10,39,9,18,98,10,39,9,18,98,,,,,,,,
138,4,7/26/2023,59,29,60,18,210,59,29,60,18,210,,,,,,,,
139,5,7/27/2023,10,26,21,9,109,10,26,21,9,109,,,,,,,,
140,6,7/28/2023,197,44,2,40,227,197,44,2,40,227,,,,,,,,
141,7,7/29/2023,38.17,17,13,11,113,20.16666667,17,13,11,113,,,,,,,,
142,1,7/30/2023,38.17,35,76,7,207,49.5,35,76,7,207,,,,,,,,
143,2,7/31/2023,50,33,38,23,218,50,33,38,23,218,,,,,,,,
144,3,8/1/2023,29,6,34,20,,29,6,34,20,144.3333333,,,,,,,,
145,4,8/2/2023,29,15,39,1,127,29,15,39,1,127,,,,,,,,
146,5,8/3/2023,31,2,9,11,123,31,2,9,11,123,,,,,,,,
147,6,8/4/2023,55,7,9,24,142,55,7,9,24,142,,,,,,,,
148,7,8/5/2023,51,49,44,31,265,51,49,44,31,265,,,,,,,,
149,1,8/6/2023,16,40,12,19,110,16,40,12,19,110,,,,,,,,
150,2,8/7/2023,164,26,21,9,118,164,26,21,9,118,,,,,,,,
151,3,8/8/2023,66,14,37,20,166,66,14,37,20,166,,,,,,,,
152,4,8/9/2023,31,8,49,17,125,31,8,49,17,125,,,,,,,,
153,5,8/10/2023,41,23,14,26,169,41,23,14,26,169,,,,,,,,
154,6,8/11/2023,37,40,38,22,208,37,40,38,22,208,,,,,,,,
155,7,8/12/2023,44,21,10,26,166,44,21,10,26,166,,,,,,,,
156,1,8/13/2023,10,12,6,92,35,10,12,6,92,35,,,,,,,,
157,2,8/14/2023,26,44,51,11,173,26,44,51,11,173,,,,,,,,
158,3,8/15/2023,40,1,24,6,111,40,1,24,6,111,,,,,,,,
159,4,8/16/2023,12,37,45,2,85,12,37,45,2,85,,,,,,,,
160,5,8/17/2023,32,18,35,9,138,32,18,35,9,138,,,,,,,,
161,6,8/18/2023,45,18,31,14,159,45,18,31,14,159,,,,,,,,
162,7,8/19/2023,19,36,49,7,151,19,36,49,7,151,,,,,,,,
163,1,8/20/2023,43,,,18,168,43,0,30.6,18,168,,,,,,,,
164,2,8/21/2023,34,37,7,32,193,34,37,7,32,193,,,,,,,,
165,3,8/22/2023,28,15,5,17,132,28,15,5,17,132,,,,,,,,
166,4,8/23/2023,57,3,85,11,131,57,3,85,11,131,,,,,,,,
167,5,8/24/2023,12,38,22,12,90,12,38,22,12,90,,,,,,,,
168,6,8/25/2023,48,5,19,16,129,48,5,19,16,129,,,,,,,,
169,7,8/26/2023,45,24,58,10,185,45,24,58,10,185,,,,,,,,
170,1,8/27/2023,61,11,6,31,162,61,11,6,31,162,,,,,,,,
171,2,8/28/2023,12,12,18,3,90,12,12,18,3,90,,,,,,,,
172,3,8/29/2023,43,21,47,8,163,43,21,47,8,163,,,,,,,,
173,4,8/30/2023,10,20,17,5,93,10,20,17,5,93,,,,,,,,
174,5,8/31/2023,37,7,13,15,129,37,7,13,15,129,,,,,,,,
175,6,9/1/2023,53,3,13,19,127,53,3,13,19,127,,,,,,,,
176,7,9/2/2023,64,49,42,35,271,64,49,42,35,271,,,,,,,,
177,1,9/3/2023,59,30,20,32,216,59,30,20,32,216,,,,,,,,
178,2,9/4/2023,40,8,35,95,131,40,8,35,95,131,,,,,,,,
179,3,9/5/2023,63,2,24,19,131,63,2,24,19,131,,,,,,,,
180,4,9/6/2023,41,10,18,15,135,41,10,18,15,135,,,,,,,,
181,5,9/7/2023,36,3,8,14,108,36,3,8,14,108,,,,,,,,
182,6,9/8/2023,53,5,27,14,124,53,5,27,14,124,,,,,,,,
183,7,9/9/2023,18,6,30,17,105,18,6,30,17,105,,,,,,,,
184,1,9/10/2023,66,43,72,22,272,66,43,72,22,272,,,,,,,,
185,2,9/11/2023,59,21,30,24,188,59,21,30,24,188,,,,,,,,
186,3,9/12/2023,46,45,20,35,228,46,45,20,35,228,,,,,,,,
187,4,9/13/2023,36,2,27,4,108,36,2,27,4,108,,,,,,,,
188,5,9/14/2023,41,29,18,26,186,41,29,18,26,186,,,,,,,,
189,6,9/15/2023,59,14,4,34,167,59,14,4,34,167,,,,,,,,
190,7,9/16/2023,7,12,23,19,83,7,12,23,19,83,,,,,,,,
191,1,9/17/2023,16,41,6,22,114,16,41,6,22,114,,,,,,,,
192,2,9/18/2023,21,11,6,11,116,21,11,6,11,116,,,,,,,,
193,3,9/19/2023,12,4,32,11,62,12,4,32,11,62,,,,,,,,
194,4,9/20/2023,41,42,4,36,204,41,42,4,36,204,,,,,,,,
195,5,9/21/2023,33,36,6,,184,33,36,6,0.0,184,,,,,,,,
196,6,9/22/2023,15,4,14,0,91,15,4,14,30.6,91,,,,,,,,
197,7,9/23/2023,28,5,8,9,116,28,5,8,9,116,,,,,,,,
198,1,9/24/2023,44,9,6,20,139,44,9,6,20,139,,,,,,,,
199,2,9/25/2023,58,42,66,23,236,58,42,66,23,236,,,,,,,,
,7,,52,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
